Title,Location,Price,Bedrooms,Bathrooms,URL
4 Bedroom Semi Detached Duplex With Bq,Ikota Lekki Lagos,"₦ 150,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-4NWGZ
Newly Built 4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos,"₦ 130,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-6NWBG
5 Bedroom Detached Duplex With Bq,Orchid Lekki Lagos,"₦ 300,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-orchid-lekki-lagos-0NWPA
5 Bedroom Detached Duplex With Bq,Ajah Lagos,"₦ 300,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-3NWBG
Beautiful Luxury 4 Bedroom Maisonette,Ikate Lekki Lagos,"₦ 350,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-6NWKQ
"Super Luxury 4 Bed Maisonette +bq, Elevator, Pool & Gym",Adeniyi Jones Ikeja Lagos,"₦ 400,000,000",4,5,https://propertypro.ng/property/4-bedroom-house-for-sale-adeniyi-jones-ikeja-lagos-3NQTT
2 Bedroom Apartment With Bq,Oniru Victoria Island Lagos,"₦ 290,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-oniru-victoria-island-lagos-0NWAM
2 Bedroom Apartment With Pool,Lekki Phase 1 Lekki Lagos,"₦ 400,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-3NVWK
Luxury 2 Bedroom Apartment With Pool,Ikate Lekki Lagos,"₦ 200,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-4NWHV
4 Bedroom Massionette With Bq,Lekki Phase 1 Lekki Lagos,"₦ 550,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-5NVWL
Beautiful Luxury 2 Bedroom Apartment With Pool,Lekki Phase 1 Lekki Lagos,"₦ 330,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-3NVZU
5 Bedroom Detached Duplex With Bq,Omole Phase 1 Ojodu Lagos,"₦ 700,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-omole-phase-1-ojodu-lagos-7NVVR
Luxurious 4 Bedroom Semi Detached Duplex With Bq,Ikate Lekki Lagos,"₦ 300,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-2NVZW
Luxury 4 Bedroom Detached Duplex With Bq,Orchid Lekki Lagos,"₦ 280,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-orchid-lekki-lagos-9NVYH
State Of The Art 4 Bedroom Terrace Duplex With Bq,Ikate Lekki Lagos,"₦ 350,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-9NVXS
2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,"₦ 220,000,000",2,0,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-2NKBE
5 Bedroom Semi Detached Duplex With Bq,Ajah Lagos,"₦ 190,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-6NWAN
Beautiful Luxury 2 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,"₦ 250,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-7NVXR
